"ARCID","GRID_CODE","OBJECTID","LCOVV11","LCOVV12","LCOVV21","LCOVV22","LCOVV23","LCOVV24","LCOVV31","LCOVV41","LCOVV42","LCOVV43","LCOVV52","LCOVV71","LCOVV81","LCOVV82","LCOVV90","LCOVV95","LCOVV127","Area","HydroID_1","LCOV11","LCOV12","LCOV21","LCOV22","LCOV23","LCOV24","LCOV31","LCOV41","LCOV42","LCOV43","LCOV52","LCOV71","LCOV81","LCOV82","LCOV90","LCOV95","LCOV127","MUKEY","slopegradd","slopegradw","slope_l","slope_r","slope_h","tfact","weg","cokey","om_l","om_r","om_h","dbthirdbar","dbthirdb_1","dbthirdb_2","ksat_l","ksat_r","ksat_h","awc_l","awc_r","awc_h","kffact","cokey_1","brock","wt","uni"
3552,2,3595,0.00000000000,0.00000000000,0.02618816683,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.03297769156,0.00000000000,0.00000000000,0.00000000000,0.82007759457,0.11008729389,0.01066925315,0.00000000000,0.00000000000,0.00000000000,1843858.68144000000,3595.00000000000,0.00000000000,0.00000000000,482.87278800000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,608.06202900000,0.00000000000,0.00000000000,0.00000000000,15121.07192200000,2029.85412600000,196.72595000000,0.00000000000,0.00000000000,0.00000000000,662762,13.00000000000,10.50000000000,5.00000000000,13.00000000000,20.00000000000,3.00000000000,7,662762:967839,2.00000000000,3.00000000000,4.00000000000,1.35000000000,1.40000000000,1.45000000000,1.41140000000,2.82290000000,4.23430000000,0.21000000000,0.22000000000,0.23000000000,.32,662762:967839,31,0,1220
3556,3,3553,0.00000000000,0.00000000000,0.02072192513,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.02473262032,0.00000000000,0.00000000000,0.00000000000,0.16711229947,0.22192513369,0.56550802139,0.00000000000,0.00000000000,0.00000000000,1341143.92262000000,3553.00000000000,0.00000000000,0.00000000000,277.91084000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,331.70003400000,0.00000000000,0.00000000000,0.00000000000,2241.21644800000,2976.33544300000,7584.27646100000,0.00000000000,0.00000000000,0.00000000000,662726,15.00000000000,8.50000000000,5.00000000000,15.00000000000,25.00000000000,3.00000000000,6,662726:967423,0.50000000000,1.75000000000,3.00000000000,1.30000000000,1.40000000000,1.50000000000,4.23430000000,9.17430000000,14.11430000000,0.12000000000,0.17000000000,0.22000000000,.43,662726:967423,0,46,1221
3557,1,3535,0.05722042393,0.00000000000,0.00292367130,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.22021509867,0.00000000000,0.00052208416,0.00281925446,0.17677769657,0.53586718179,0.00020883366,0.00344575546,0.00000000000,0.00000000000,8616604.77068000000,3535.00000000000,4930.45777800000,0.00000000000,251.92120100000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,18975.06469800000,0.00000000000,44.98592900000,242.92401400000,15232.23543600000,46173.55715100000,17.99437100000,296.90712900000,0.00000000000,0.00000000000,662726,15.00000000000,8.50000000000,5.00000000000,15.00000000000,25.00000000000,3.00000000000,6,662726:967423,0.50000000000,1.75000000000,3.00000000000,1.30000000000,1.40000000000,1.50000000000,4.23430000000,9.17430000000,14.11430000000,0.12000000000,0.17000000000,0.22000000000,.43,662726:967423,0,46,1222
3558,3,3567,0.75000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.11111111111,0.11111111111,0.00000000000,0.00000000000,0.00000000000,0.02777777778,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,31624.00470890000,3567.00000000000,237.18003500000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,35.13778300000,35.13778300000,0.00000000000,0.00000000000,0.00000000000,8.78444600000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,657964,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,657964:945006,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,0,0,1223
3559,2,3581,0.01255707763,0.00000000000,0.01940639269,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.16894977169,0.00000000000,0.00000000000,0.00456621005,0.05060882801,0.51826484018,0.22564687976,0.00000000000,0.00000000000,0.00000000000,2361887.61925000000,3581.00000000000,296.58406200000,0.00000000000,458.35718600000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,3990.40374000000,0.00000000000,0.00000000000,107.84875000000,1195.32364300000,12240.83309500000,5329.52571600000,0.00000000000,0.00000000000,0.00000000000,662715,1.00000000000,1.00000000000,0.00000000000,1.00000000000,1.00000000000,5.00000000000,4,662715:967260,1.00000000000,2.50000000000,4.00000000000,1.40000000000,1.50000000000,1.60000000000,0.00000000000,0.21170000000,0.42340000000,0.12000000000,0.13000000000,0.14000000000,.28,662715:967260,0,15,1224
3561,3,3328,0.21961466644,0.00000000000,0.03165846206,0.00250381939,0.00000000000,0.00000000000,0.00067900187,0.27847564081,0.00000000000,0.01082159226,0.00258869462,0.07914615515,0.26111865558,0.10549991513,0.00721439484,0.00067900187,0.00000000000,21187089.73780000000,3328.00000000000,46529.95645600000,0.00000000000,6707.50676600000,530.48646100000,0.00000000000,0.00000000000,143.86073600000,59000.88391600000,0.00000000000,2292.78046300000,548.46905200000,16768.76691600000,55323.44388000000,22352.36169200000,1528.52030900000,143.86073600000,0.00000000000,662715,1.00000000000,1.00000000000,0.00000000000,1.00000000000,1.00000000000,5.00000000000,4,662715:967260,1.00000000000,2.50000000000,4.00000000000,1.40000000000,1.50000000000,1.60000000000,0.00000000000,0.21170000000,0.42340000000,0.12000000000,0.13000000000,0.14000000000,.28,662715:967260,0,15,1225
3568,3,3548,0.16279069767,0.00000000000,0.10852713178,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.04651162791,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.03875968992,0.00775193798,0.59689922481,0.03875968992,0.00000000000,117321.37451300000,3548.00000000000,190.98828400000,0.00000000000,127.32552300000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,54.56808100000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,45.47340100000,9.09468000000,700.29037500000,45.47340100000,0.00000000000,662715,1.00000000000,1.00000000000,0.00000000000,1.00000000000,1.00000000000,5.00000000000,4,662715:967260,1.00000000000,2.50000000000,4.00000000000,1.40000000000,1.50000000000,1.60000000000,0.00000000000,0.21170000000,0.42340000000,0.12000000000,0.13000000000,0.14000000000,.28,662715:967260,0,15,1226
3569,3,3528,0.00479041916,0.00000000000,0.02155688623,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.07185628743,0.00000000000,0.00000000000,0.00000000000,0.27305389222,0.40958083832,0.20958083832,0.00958083832,0.00000000000,0.00000000000,746868.15875900000,3528.00000000000,35.77811500000,0.00000000000,161.00151900000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,536.67173100000,0.00000000000,0.00000000000,0.00000000000,2039.35257700000,3059.02886600000,1565.29254800000,71.55623100000,0.00000000000,0.00000000000,662727,1.00000000000,1.00000000000,0.00000000000,1.00000000000,2.00000000000,5.00000000000,4L,662727:967440,2.00000000000,3.00000000000,4.00000000000,1.35000000000,1.38000000000,1.40000000000,4.23430000000,9.17430000000,14.11430000000,0.22000000000,0.23000000000,0.24000000000,.32,662727:967440,0,31,1227
3570,1,3619,0.00423216445,0.00000000000,0.04223527380,0.00233200898,0.00000000000,0.00000000000,0.00000000000,0.02997063396,0.00000000000,0.00069096562,0.00000000000,0.59457591985,0.19044740024,0.12886508896,0.00665054414,0.00000000000,0.00000000000,10413780.76540000000,3619.00000000000,440.72832700000,0.00000000000,4398.28881900000,242.85030300000,0.00000000000,0.00000000000,0.00000000000,3121.07611500000,0.00000000000,71.95564500000,0.00000000000,61917.83277700000,19832.77473400000,13419.72784700000,692.57308600000,0.00000000000,0.00000000000,662727,1.00000000000,1.00000000000,0.00000000000,1.00000000000,2.00000000000,5.00000000000,4L,662727:967440,2.00000000000,3.00000000000,4.00000000000,1.35000000000,1.38000000000,1.40000000000,4.23430000000,9.17430000000,14.11430000000,0.22000000000,0.23000000000,0.24000000000,.32,662727:967440,0,31,1228
3571,2,3609,0.00000000000,0.00000000000,0.04704097117,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.13201820941,0.00000000000,0.00000000000,0.00000000000,0.06676783005,0.38391502276,0.34901365706,0.01213960546,0.00910470410,0.00000000000,588816.12294000000,3609.00000000000,0.00000000000,0.00000000000,276.98482300000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,777.34450200000,0.00000000000,0.00000000000,0.00000000000,393.13974800000,2260.55355200000,2055.04868400000,71.47995400000,53.60996600000,0.00000000000,662715,1.00000000000,1.00000000000,0.00000000000,1.00000000000,1.00000000000,5.00000000000,4,662715:967260,1.00000000000,2.50000000000,4.00000000000,1.40000000000,1.50000000000,1.60000000000,0.00000000000,0.21170000000,0.42340000000,0.12000000000,0.13000000000,0.14000000000,.28,662715:967260,0,15,1229
